total_pop,pop_density,housing_density,County,hh_income,land_use,State,EPA_region,native_prop,Climate_Zone
3817117,414.9,178.2,04013,55054,1,4,9,0.02052046086090628,Southwest
200186,15,8.3,04015,39785,4,4,9,0.022479094442168782,Southwest
107449,10.8,5.7,04017,39774,5,4,9,0.4337964988040838,Southwest
980263,106.7,48,04019,45521,3,4,9,0.03326148186762124,Southwest
375770,70,29.7,04021,51310,2,4,9,0.05574952763658621,Southwest
47420,38.3,14.6,04023,36519,5,4,9,0.006916912695065373,Southwest
211033,26,13.6,04025,43290,4,4,9,0.01681727502333758,Southwest
195751,35.5,15.9,04027,40340,4,4,9,0.015611669927612119,Southwest
19019,19.2,9.5,05001,37230,6,5,6,0.001892843998107156,South
21853,23.6,11,05003,34934,6,5,6,0.0032032215256486522,South
41513,74.9,40.7,05005,35606,5,5,6,0.005588610796617927,South
221339,261.2,109.9,05007,50434,3,5,6,0.016946855276295636,South
36903,62.5,28.5,05009,36977,5,5,6,0.007126791859740401,South
11508,17.7,9,05011,29908,6,5,6,0.004866180048661801,South
5368,8.5,4.6,05013,32450,5,5,6,0.0027943368107302535,South
27446,43.6,21.5,05015,34235,6,5,6,0.009145230634700867,South
11800,18.3,8.4,05017,21676,6,5,6,0.0019491525423728814,South
22995,26.6,12,05019,31968,5,5,6,0.00426179604261796,South
16083,25.2,12.6,05021,29066,6,5,6,0.0026114530871106136,South
25970,46.9,28.6,05023,35753,6,5,6,0.00542934154793993,South
8689,14.5,6.8,05025,36957,4,5,6,0.0026470249741051906,South
24552,32.1,15.1,05027,35148,5,5,6,0.002891821440208537,South
21273,38.5,17.6,05029,32700,6,5,6,0.007145207540074272,South
96443,136.4,57.3,05031,39233,4,5,6,0.0035461360596414464,South
61948,104.4,44,05033,40197,3,5,6,0.02247045909472461,South
50902,83.5,35.2,05035,33716,2,5,6,0.0026521551216062236,South
17870,29,12.7,05037,37021,6,5,6,0.002630106323447118,South
8116,12.2,6.5,05039,29602,6,5,6,0.003942828979793002,South
13008,16.9,8.2,05041,29051,6,5,6,0.002690651906519065,South
18509,22.3,10.2,05043,32558,6,5,6,0.0023231941217785944,South
113237,174.8,71.9,05045,45287,3,5,6,0.005810821551259747,South
18125,29.8,13.2,05047,32064,6,5,6,0.010427586206896551,South
12245,19.8,11,05049,30598,6,5,6,0.0064516129032258064,South
96024,141.7,74.6,05051,36844,4,5,6,0.006113055069565942,South
17853,28.3,12.3,05053,51589,3,5,6,0.004313000616142945,South
42090,72.9,31,05055,38209,5,5,6,0.0049655500118793066,South
22609,31.1,14.3,05057,35708,6,5,6,0.0038922552965633154,South
32923,53.5,23.3,05059,37150,5,5,6,0.004677581022385567,South
13789,23.4,10.6,05061,34554,6,5,6,0.006962071216186815,South
36647,48,21.2,05063,34625,5,5,6,0.004884438016754441,South
13696,23.6,12.5,05065,31673,6,5,6,0.007666471962616822,South
17997,28.4,12,05067,27615,6,5,6,0.005056398288603656,South
77435,88.9,37.9,05069,35998,4,5,6,0.002750694130561116,South
25540,38.7,17.1,05071,30592,6,5,6,0.008848864526233359,South
7645,14.5,8.2,05073,27515,6,5,6,0.002223675604970569,South
17415,29.6,13.6,05075,30288,6,5,6,0.0036175710594315244,South
10424,17.3,7.2,05077,30494,6,5,6,0.004700690713737529,South
14134,25.2,8.7,05079,35737,4,5,6,0.002688552426772322,South
13171,24.7,12.1,05081,33416,4,5,6,0.014577480829094222,South
22353,31.6,14.3,05083,37551,6,5,6,0.010602603677358744,South
68356,88.7,35.3,05085,50757,3,5,6,0.0053104336122652,South
15717,18.8,9,05087,36502,3,5,6,0.012088821021823503,South
16653,27.9,15.7,05089,34109,6,5,6,0.006905662643367561,South
43462,69.5,30.8,05091,40307,4,5,6,0.006741521328977038,South
46480,51.6,22.7,05093,33407,5,5,6,0.002925989672977625,South
8149,13.4,7.3,05095,29964,6,5,6,0.0035587188612099642,South
9487,12.2,7.4,05097,35705,6,5,6,0.008327184568356698,South
8997,14.6,7.4,05099,38375,6,5,6,0.0034455929754362564,South
