total_pop,pop_density,housing_density,County,hh_income,land_use,State,EPA_region,native_prop,Climate_Zone
11581,19.7,8.2,19119,49506,6,19,5,7.771349624384769e-4,East North Central
15679,27.9,11.7,19121,53183,3,19,5,0.001785828177817463,East North Central
22381,39.2,17.1,19123,45025,5,19,5,0.0026808453599034897,East North Central
33309,60.1,25.1,19125,53370,6,19,5,0.0018013149599207421,East North Central
40648,71,29.4,19127,45232,5,19,5,0.00457587089155678,East North Central
15059,34.4,14,19129,59481,3,19,5,0.0032538681187329836,East North Central
10776,23,10.3,19131,48506,6,19,5,9.279881217520415e-4,East North Central
9243,13.3,6.8,19133,41398,6,19,5,0.010494428215947203,East North Central
7970,18.4,9,19135,43245,6,19,5,0.0013801756587202008,East North Central
10740,25.3,12.4,19137,38624,6,19,5,0.003538175046554935,East North Central
42745,97.7,40.9,19139,51025,5,19,5,0.0031114750263188675,East North Central
14398,25.1,11.6,19141,44018,6,19,5,0.0012501736352271149,East North Central
6462,16.2,7.5,19143,43889,6,19,5,0.0032497678737233053,East North Central
15932,29.8,13.4,19145,40778,6,19,5,0.005397941250313834,East North Central
9421,16.7,8.2,19147,42800,6,19,5,0.0022290627321940345,East North Central
24986,29,12.2,19149,56379,4,19,5,0.002841591291123029,East North Central
7310,12.7,6.6,19151,42105,6,19,5,0.0016415868673050615,East North Central
430640,750.5,317.6,19153,56094,3,19,5,0.003213821289243916,East North Central
93158,98,41.4,19155,48728,3,19,5,0.004733892956053157,East North Central
18914,32.3,15.3,19157,50998,6,19,5,0.0026435444644178916,East North Central
5131,9.6,4.9,19159,42336,6,19,5,0.002728512960436562,East North Central
10350,18,9.4,19161,42986,6,19,5,6.76328502415459e-4,East North Central
165224,360.7,156.8,19163,49964,3,19,5,0.0030019851837505447,East North Central
12167,20.6,9.4,19165,44085,6,19,5,0.0023013068135119587,East North Central
33704,43.9,16,19167,51557,6,19,5,0.0028483266081177306,East North Central
89542,156.3,64.2,19169,48248,4,19,5,0.0018203747961850305,East North Central
17767,24.6,10.8,19171,46288,6,19,5,0.07468903022457364,East North Central
6317,11.9,5.8,19173,40300,6,19,5,0.0014247269273389266,East North Central
12534,29.6,14,19175,40879,6,19,5,0.0031115366203925323,East North Central
7570,15.6,7.6,19177,40073,6,19,5,0.001321003963011889,East North Central
35625,82.5,37.3,19179,40093,5,19,5,0.004940350877192983,East North Central
46225,81.1,32.2,19181,62034,3,19,5,0.002358031368307193,East North Central
21704,38.2,16.7,19183,50710,4,19,5,0.002580169553999263,East North Central
6403,12.2,6.1,19185,35425,6,19,5,0.0018741215055442762,East North Central
38013,53.1,23.8,19187,40806,5,19,5,0.002946360455633599,East North Central
10866,27.1,13,19189,41871,6,19,5,0.0020246640898214613,East North Central
21056,30.5,12.6,19191,50693,6,19,5,6.174012158054711e-4,East North Central
102172,117.1,47.5,19193,44343,4,19,5,0.02206083858591395,East North Central
7598,19,8.9,19195,49673,5,19,5,0.0018425901553040273,East North Central
13229,22.8,11.2,19197,44035,6,19,5,0.0015118300703000982,East North Central
13371,26.7,12.4,20001,41546,6,20,7,0.008077181960960288,South
8102,14,6.4,20003,40428,6,20,7,0.004813626265119724,South
16924,39.3,16.2,20005,44175,5,20,7,0.0054951548097376506,South
4861,4.3,2.4,20007,38875,6,20,7,0.005554412672289653,South
27674,30.9,14.2,20009,43763,5,20,7,0.005347980053479801,South
15173,23.9,11.3,20011,38045,6,20,7,0.007513346075265274,South
9984,17.5,8.4,20013,37525,6,20,7,0.09254807692307693,South
65880,46.1,18.2,20015,56290,3,20,7,0.009653916211293261,South
2790,3.6,1.9,20017,40372,6,20,7,0.004301075268817204,South
3669,5.7,3.4,20019,35848,6,20,7,0.04088307440719542,South
21603,36.8,16.8,20021,38154,6,20,7,0.040549923621719206,South
2726,2.7,1.5,20023,31186,6,20,7,0.0022010271460014674,South
2215,2.3,1.2,20025,37931,6,20,7,0.006320541760722348,South
8535,13.2,6.3,20027,42490,6,20,7,0.004452255418863503,South
9533,13.3,6.5,20029,35838,6,20,7,0.003146963180530788,South
8601,13.7,6.3,20031,47171,6,20,7,0.00685966748052552,South
1891,2.4,1.3,20033,34808,6,20,7,0.0021152829190904283,South
36311,32.3,14.2,20035,40749,5,20,7,0.01993886150202418,South
39134,66.4,30.2,20037,35286,5,20,7,0.009045842489906475,South
2961,3.3,2,20039,35383,6,20,7,0.004390408645727794,South
19754,23.3,10.6,20041,46457,6,20,7,0.005011643211501468,South
7945,20.2,9.1,20043,43410,4,20,7,0.010320956576463184,South
110826,243.1,102.5,20045,45831,4,20,7,0.026627325717791854,South
3037,4.9,2.6,20047,39226,6,20,7,0.00691471847217649,South
2882,4.5,2.7,20049,33455,6,20,7,0.01457321304649549,South
28452,31.6,14.3,20051,44543,5,20,7,0.0026008716434697036,South
6497,9.1,4.5,20053,42200,6,20,7,0.0055410189318146836,South
36776,28.2,10.2,20055,50454,5,20,7,0.009136393299978247,South
33848,30.8,10.9,20057,46621,5,20,7,0.010281257385960765,South
25992,45.5,19.5,20059,49459,5,20,7,0.008233302554632194,South
34362,89.3,37.7,20061,45559,5,20,7,0.009865549153134276,South
2695,2.5,1.3,20063,41295,6,20,7,7.421150278293135e-4,South
2597,2.9,1.7,20065,43980,6,20,7,0.006546014632268001,South
7829,13.6,5.1,20067,55514,6,20,7,0.012262102439647465,South
6006,6.9,2.7,20069,52824,6,20,7,0.004662004662004662,South
1247,1.6,0.8,20071,55972,6,20,7,0.0056134723336006415,South
6689,5.9,3.6,20073,37180,6,20,7,0.009866945731798474,South
2690,2.7,1.2,20075,36297,6,20,7,0.012267657992565056,South
6034,7.5,3.9,20077,38168,6,20,7,0.01143520053032814,South
34684,64.3,26.9,20079,46604,3,20,7,0.007236766232268481,South
4256,7.4,2.9,20081,45859,6,20,7,0.006578947368421052,South
1916,2.2,1.1,20083,41127,6,20,7,0.0015657620041753654,South
13462,20.5,8.8,20085,51759,4,20,7,0.07992868815926311,South
19126,35.9,15.3,20087,56886,4,20,7,0.008940708982536861,South
3077,3.4,2.2,20089,37759,6,20,7,0.006499837504062398,South
544179,1149.6,478.6,20091,73733,2,20,7,0.0037009880939911314,South
3977,4.6,1.8,20093,46435,5,20,7,0.009806386723661051,South
7858,9.1,4.4,20095,44510,3,20,7,0.005981165691015525,South
2553,3.5,1.7,20097,37292,6,20,7,0.009400705052878966,South
21607,33.5,15.6,20099,39049,5,20,7,0.021613366038783728,South
1750,2.4,1.4,20101,42311,6,20,7,0.008,South
76227,164.7,62,20103,61107,2,20,7,0.007661327351201018,South
3241,4.5,2.6,20105,41071,6,20,7,0.005245294662141314,South
9656,16.3,9.2,20107,44379,2,20,7,0.006524440762220381,South
2756,2.6,1.3,20109,39375,6,20,7,0.0047169811320754715,South
33690,39.8,18,20111,36921,5,20,7,0.006945681211041852,South
29180,32.5,14.2,20113,53026,5,20,7,0.0037697052775873888,South
12660,13.4,6.3,20115,45713,6,20,7,0.005529225908372828,South
10117,11.2,5.4,20117,43125,6,20,7,0.0032618365128002373,South
4575,4.7,2,20119,46658,6,20,7,0.007650273224043716,South
32787,57,22.9,20121,60539,2,20,7,0.005855979504071736,South
6373,9.1,4.7,20123,44247,6,20,7,0.0037658873372038285,South
35471,55.1,25.8,20125,40603,5,20,7,0.03349214851568887,South
5923,8.5,4.6,20127,42083,6,20,7,0.004727334121222354,South
3233,4.4,2,20129,42273,6,20,7,0.010516548097742036,South
10178,14.2,6.4,20131,46134,6,20,7,0.004617803104735705,South
16512,28.9,13.1,20133,36702,6,20,7,0.010840600775193799,South
3107,2.9,1.6,20135,47639,6,20,7,0.0032185387833923397,South
5671,6.5,2.9,20137,32016,6,20,7,0.0022923646623170518,South
16295,23.1,10.6,20139,48594,4,20,7,0.006873274010432648,South
3858,4.3,2.5,20141,34797,6,20,7,0.004924831518921721,South
6091,8.5,3.9,20143,50814,5,20,7,0.003940239697914957,South
6973,9.2,4.2,20145,40048,6,20,7,0.005879822171231895,South
5642,6.4,3.4,20147,44381,6,20,7,0.004076568592697625,South
21604,25.7,10.3,20149,53430,4,20,7,0.007776337715237919,South
9656,13.1,6.1,20151,43583,6,20,7,0.006006628003314002,South
2519,2.4,1.4,20153,39797,6,20,7,0.001984914648670107,South
64511,51.4,22.5,20155,41431,5,20,7,0.0067895397684115885,South
4980,6.9,4,20157,38286,6,20,7,0.0024096385542168677,South
10083,13.9,6.3,20159,43164,6,20,7,0.006942378260438362,South
71115,116.6,46.3,20161,39257,4,20,7,0.006088729522604233,South
5181,5.8,3.1,20163,37861,6,20,7,0.003281219841729396,South
3307,4.6,2.6,20165,39435,6,20,7,0.004838221953432114,South
6970,7.9,4.4,20167,36135,6,20,7,0.006456241032998565,South
55606,77.2,33.5,20169,45162,5,20,7,0.0053051828939323096,South
4936,6.9,3.1,20171,58341,6,20,7,0.006077795786061589,South
498365,499.6,212.1,20173,47848,3,20,7,0.011515656195760136,South
22952,35.9,12.6,20175,41373,5,20,7,0.007668177065179505,South
177934,327.1,145.5,20177,47464,4,20,7,0.012234873604819764,South
2556,2.9,1.4,20179,46739,6,20,7,0.004303599374021909,South
6010,5.7,3,20181,41570,6,20,7,0.0028286189683860235,South
3853,4.3,2.5,20183,39836,6,20,7,0.0028549182455229693,South
4437,5.6,2.9,20185,39375,6,20,7,0.012395762902862295,South
2235,3.3,1.5,20187,49612,6,20,7,0.012080536912751677,South
5724,7.9,3.2,20189,50517,6,20,7,0.008560447239692523,South
24132,20.4,9.2,20191,49582,3,20,7,0.011685728493286921,South
7900,7.4,3.3,20193,47033,6,20,7,0.004556962025316456,South
3001,3.4,1.9,20195,39655,6,20,7,0.001999333555481506,South
7053,8.9,4.1,20197,52133,4,20,7,0.005104210974053594,South
1485,1.6,0.9,20199,43953,6,20,7,0.0047138047138047135,South
5799,6.5,3.3,20201,39698,6,20,7,0.002414209346439041,South
2234,3.1,1.5,20203,44318,6,20,7,0.004923903312444047,South
9409,16.5,8.2,20205,39301,6,20,7,0.010521840790732278,South
3309,6.6,4.1,20207,30385,6,20,7,0.01118162586884255,South
157505,1039,440.3,20209,38503,2,20,7,0.00823465921716771,South
18656,46,21.1,21001,29834,6,21,4,0.0019296740994854203,Central
19956,58,27,21003,35247,4,21,4,0.002906394066947284,Central
21421,106.1,45.2,21005,55506,5,21,4,0.001447178002894356,Central
8249,33.4,15.8,21007,41228,5,21,4,0.0016971754152018427,Central
42173,86.5,39.4,21009,38374,5,21,4,0.002110354966447727,Central
11591,41.6,19.4,21011,30458,5,21,4,0.002501941161245794,Central
28691,79.9,36.6,21013,24724,5,21,4,0.0017078526367153462,Central
118811,482.3,187.3,21015,66549,2,21,4,0.0019190142326888924,Central
19985,69,30.8,21017,40849,3,21,4,0.0021015761821366026,Central
49542,309.9,136.4,21019,38802,3,21,4,0.002220338298817165,Central
28432,157.8,68.3,21021,40720,5,21,4,0.0019344400675295442,Central
8488,41.3,18.7,21023,38481,2,21,4,0.002002827521206409,Central
13878,28.2,12.7,21025,19906,6,21,4,0.0013690733535091512,Central
20059,35.4,18.7,21027,37395,6,21,4,0.0031905877660900342,Central
74319,250.2,98.7,21029,51526,2,21,4,0.003175500208560395,Central
12690,29.8,13.8,21031,33703,4,21,4,0.0028368794326241137,Central
12984,37.7,18.2,21033,35289,6,21,4,0.001463339494762785,Central
37191,96.6,46.9,21035,39194,5,21,4,0.002339275631201097,Central
90336,597,261.2,21037,51482,2,21,4,0.0013947927736450586,Central
5104,26.9,12.9,21039,33909,6,21,4,0.0054858934169279,Central
10811,84.1,36.5,21041,43440,6,21,4,0.002589954675793174,Central
27720,67.7,30.1,21043,32424,6,21,4,0.002417027417027417,Central
15955,35.9,16.9,21045,26592,6,21,4,0.002005640864932623,Central
73955,103.1,41.1,21047,37061,3,21,4,0.0058008248259076465,Central
35613,141.1,62.2,21049,46575,3,21,4,0.0014601409597618847,Central
21730,46.3,18.9,21051,20175,6,21,4,0.0015646571560055224,Central
10272,52.1,26.9,21053,23788,6,21,4,0.0018496884735202492,Central
9315,25.9,12.7,21055,34623,6,21,4,0.003542673107890499,Central
6856,22.5,12.1,21057,28135,6,21,4,0.0011668611435239206,Central
96656,210.9,90.4,21059,42821,4,21,4,0.001344975997351432,Central
12161,40.2,21.4,21061,35808,4,21,4,0.0030425129512375625,Central
7852,33.5,14.4,21063,22097,6,21,4,0.0012735608762098828,Central
14672,58,27.1,21065,28324,6,21,4,0.0021810250817884407,Central
295803,1042.8,476.5,21067,47469,3,21,4,0.0025523743843030664,Central
14348,41.2,19,21069,31236,6,21,4,8.363534987454698e-4,Central
39451,100.3,46.2,21071,27907,6,21,4,9.885680971331524e-4,Central
49285,237.2,111.5,21073,47976,5,21,4,0.0020898853606574007,Central
6813,33.2,16.4,21075,31965,5,21,4,0.002642007926023778,Central
8589,84.8,37.4,21077,41310,2,21,4,0.0012807078821748749,Central
16912,73.5,32.4,21079,37095,6,21,4,0.0014191106906338694,Central
24662,95.6,38.5,21081,42475,2,21,4,0.0023112480739599386,Central
37121,67.3,30.4,21083,35277,5,21,4,0.0024514425796718837,Central
25746,51.8,27.3,21085,33965,6,21,4,0.0019032082653616096,Central
11258,39.4,18.6,21087,36575,6,21,4,0.003553028957186001,Central
36910,107.2,47.4,21089,42377,3,21,4,0.0025467353020861556,Central
8565,45.6,19.9,21091,44892,4,21,4,0.0025685931115002917,Central
105543,169.3,69.4,21093,47540,4,21,4,0.005125872866983125,Central
29278,62.9,29,21095,26582,6,21,4,0.0014345242161349818,Central
18846,61.5,26.8,21097,40582,6,21,4,0.0019102196752626551,Central
18199,44.2,20.8,21099,30969,6,21,4,0.0017033902961701192,Central
46250,105.9,46.5,21101,40438,3,21,4,0.0020756756756756755,Central
15416,53.9,23.2,21103,43612,2,21,4,0.0024649714582252206,Central
4902,20.2,9.7,21105,31836,6,21,4,0.0024479804161566705,Central
46920,86.6,39.1,21107,39312,5,21,4,0.0013853367433930093,Central
13494,39.1,18.9,21109,21928,6,21,4,0.0018526752630798873,Central
741096,1948.1,887.5,21111,45352,1,21,4,0.0024126428964668543,Central
48586,282.3,112.3,21113,47494,3,21,4,0.0025110114024616144,Central
23356,89.2,40.6,21115,30820,6,21,4,0.0012844665182394246,Central
159720,996.7,430.4,21117,53213,2,21,4,0.0018407212622088655,Central
16346,46.5,21.2,21119,29451,6,21,4,5.505934173498104e-4,Central
31883,82.5,37.5,21121,21493,5,21,4,0.0021955273970454474,Central
14193,54.3,23.6,21123,38891,4,21,4,0.0026069189036849153,Central
58849,135.6,58.6,21125,36787,5,21,4,0.0029737123825383607,Central
15860,38.2,17.5,21127,28865,6,21,4,0.0010718789407313997,Central
7887,37.8,16.5,21129,25129,6,21,4,0.002789400278940028,Central
11310,28.2,13.2,21131,26857,6,21,4,0.001237842617152962,Central
24519,72.6,34.3,21133,31283,6,21,4,0.0015090338105142951,Central
13870,28.7,13.4,21135,28376,6,21,4,0.001946647440519106,Central
24742,74.1,32.4,21137,32314,5,21,4,0.0017379354943011882,Central
9519,30.4,15.4,21139,39075,5,21,4,0.0028364323983611725,Central
26835,48.6,22.3,21141,34647,6,21,4,0.0023104155021427242,Central
8314,38.9,22.4,21143,42079,6,21,4,0.0014433485686793362,Central
65565,263.6,124.9,21145,41630,5,21,4,0.0022878059940517046,Central
18306,42.9,17.6,21147,22643,6,21,4,0.007046869878728286,Central
9531,37.8,16.9,21149,39115,4,21,4,0.002413178050571818,Central
82916,189.6,80.1,21151,41894,5,21,4,0.003015099618891408,Central
13333,43.2,19.3,21153,22779,6,21,4,0.002775069376734418,Central
19820,57.8,23.9,21155,37488,6,21,4,0.0015136226034308778,Central
31448,104.4,52.3,21157,43326,6,21,4,0.0018761129483591962,Central
12929,56.3,22.5,21159,25173,6,21,4,0.0037125841132338157,Central
17490,72.8,33.8,21161,40523,5,21,4,0.002058319039451115,Central
28602,93.6,38.5,21163,43800,4,21,4,0.005139500734214391,Central
6306,31,18.4,21165,29740,5,21,4,9.514747859181732e-4,Central
21331,85.7,40,21167,47955,6,21,4,0.0018283249730439268,Central
10099,34.9,16.2,21169,34732,5,21,4,0.0013862758688979106,Central
10963,33.3,15.8,21171,28439,6,21,4,0.0010945908966523761,Central
26499,134.3,59.3,21173,36034,5,21,4,0.001811389109022982,Central
13923,36.5,15.3,21175,30229,6,21,4,0.002226531638296344,Central
31499,67.4,29.3,21177,36750,6,21,4,0.0014603638210736848,Central
43437,104,43.3,21179,44783,5,21,4,0.0012431797776089508,Central
7135,36.6,16.7,21181,40259,6,21,4,9.810791871058165e-4,Central
23842,40.6,17.4,21183,36050,6,21,4,0.0020971395017196546,Central
60316,322.2,110.5,21185,79417,2,21,4,0.002818489289740699,Central
10841,30.9,16,21187,46238,6,21,4,0.0015681210220459367,Central
4755,24.1,11.8,21189,19351,6,21,4,0.002523659305993691,Central
14877,53.7,22.9,21191,44670,2,21,4,0.0022181891510385156,Central
28712,84.5,37.7,21193,29547,6,21,4,0.001288659793814433,Central
65024,82.6,38.5,21195,32563,6,21,4,9.84251968503937e-4,Central
12613,70.5,31.3,21197,31815,6,21,4,0.0011099659081899628,Central
63063,95.8,47.8,21199,32771,5,21,4,0.0022675736961451248,Central
2282,22.8,11,21201,27254,6,21,4,0.0013146362839614374,Central
17056,53.9,24.3,21203,26946,5,21,4,0.0026383677298311443,Central
23333,83.4,36.1,21205,31604,6,21,4,0.001457163673766768,Central
17565,69.2,39.4,21207,29980,6,21,4,0.0025619128949615714,Central
47173,167.4,68.5,21209,58028,3,21,4,0.002734615140016535,Central
42074,110.8,43.7,21211,55296,2,21,4,0.0027570471074773017,Central
17327,74,31.7,21213,41323,6,21,4,0.002366249206440815,Central
17061,91.4,35.9,21215,59326,2,21,4,0.0018756227653713147,Central
24512,92,40.8,21217,35378,5,21,4,0.001264686684073107,Central
12460,33.3,14.1,21219,36989,6,21,4,0.0015248796147672551,Central
14339,32.5,17.7,21221,41825,3,21,4,0.0026501150707859684,Central
8809,58.1,25.9,21223,47798,2,21,4,0.0035191281643773414,Central
15007,43.8,17.9,21225,39515,6,21,4,0.001865795961884454,Central
113792,210.1,87.2,21227,43954,4,21,4,0.0027682086614173227,Central
11717,39.4,17,21229,43090,6,21,4,8.534607834769992e-4,Central
20813,45.4,23.9,21231,25993,6,21,4,0.001969922644501033,Central
13621,41,17.9,21233,39635,6,21,4,0.0020556493649511783,Central
35637,81.4,34.6,21235,28122,5,21,4,0.0027499508937340405,Central
7355,33.1,16.5,21237,20910,6,21,4,0.0028552005438477225,Central
24939,132.1,56.7,21239,56537,3,21,4,0.0015237178716067203,Central
61773,94.3,38.8,22001,37261,3,22,6,0.0026386932802357015,South
25764,33.8,12.8,22003,36926,6,22,6,0.02414221394193448,South
107215,369.7,140.6,22005,63716,3,22,6,0.003161871006855384,South
23421,69.2,30.6,22007,45235,6,22,6,0.0056786644464369585,South
42073,50.5,21.7,22009,31412,6,22,6,0.011955410833551209,South
35654,30.8,13,22011,45202,5,22,6,0.009984854434285073,South
14353,17.7,9.5,22013,31870,6,22,6,0.0034835922803595066,South
116979,139.3,58.7,22015,51020,3,22,6,0.005479615999452893,South
254969,290.2,127.5,22017,37181,3,22,6,0.004282873604242085,South
192768,181.2,77.1,22019,43758,4,22,6,0.004658449535192563,South
10132,19.1,9.4,22021,37423,6,22,6,0.0021713383339913147,South
6839,5.3,2.8,22023,59555,4,22,6,0.005263927474777014,South
10407,14.7,6.9,22025,36398,6,22,6,0.0032670318055155185,South
17195,22.8,10.3,22027,32292,6,22,6,0.003663855772026752,South
20822,29.9,13.5,22029,30062,5,22,6,0.0031216982038228796,South
26656,30.4,14,22031,38007,3,22,6,0.007653061224489796,South
440171,966.6,411.4,22033,46179,3,22,6,0.002492213253485577,South
7759,18.4,6.9,22035,24038,6,22,6,0.0024487691712849593,South
20267,44.7,17.7,22037,35335,3,22,6,0.0031578427986381804,South
33984,51.3,22.1,22039,34057,6,22,6,0.002913135593220339,South
20767,33.2,14.5,22041,32311,6,22,6,0.0017816728463427554,South
22309,34.7,13.8,22043,40092,4,22,6,0.010220090546416245,South
73240,127.6,51.7,22045,41783,3,22,6,0.003672856362643364,South
33387,54,20.5,22047,42215,3,22,6,0.0018570102135561746,South
16274,28.6,13.5,22049,40674,6,22,6,0.0021506697800172054,South
432552,1463.1,639.8,22051,48175,2,22,6,0.0047115722502728,South
31594,48.5,20.4,22053,42907,6,22,6,0.004969297967968601,South
221578,824.6,348.5,22055,47559,3,22,6,0.0033667602379297583,South
96318,90.2,36.1,22057,47492,4,22,6,0.02806329035071326,South
14890,23.8,10.5,22059,37572,6,22,6,0.010208193418401611,South
46735,99.1,41.3,22061,35247,5,22,6,0.0026318604899967903,South
128026,197.5,77.4,22063,54708,3,22,6,0.0041085404527205415,South
12093,19.4,7.7,22065,26441,6,22,6,0.0019846192011907715,South
27979,35.2,15.6,22067,31781,5,22,6,0.001286679295185675,South
39566,31.6,14.8,22069,30326,5,22,6,0.009503108729717434,South
343829,2029.4,1120.8,22071,37468,1,22,6,0.0030451183582536666,South
153720,251.8,105.6,22073,39823,4,22,6,0.0024785323965651833,South
23042,29.5,12.3,22075,54730,2,22,6,0.01610103289644996,South
22802,40.9,20,22077,41177,3,22,6,7.894044382071748e-4,South
131613,99.9,42.3,22079,40658,4,22,6,0.00786396480590823,South
9091,23.4,10.6,22081,34723,6,22,6,0.0036299637003629963,South
20725,37.1,15.4,22083,37682,6,22,6,0.0030880579010856453,South
24233,28,16.3,22085,35395,6,22,6,0.0859158998060496,South
35897,95.1,44.5,22087,39200,2,22,6,0.007242945092904699,South
52780,189.1,71.3,22089,60961,2,22,6,0.0032588101553618796,South
11203,27.4,12.6,22091,27393,3,22,6,0.0033919485852003926,South
22102,91.5,35,22093,51725,2,22,6,0.0020360148402859468,South
45924,215.5,82.2,22095,47666,2,22,6,0.003135615364515286,South
83384,90.3,38.6,22097,31813,5,22,6,0.003297994819149957,South
52160,70.7,29.7,22099,41302,3,22,6,0.004256134969325153,South
54650,98.4,41.5,22101,40431,5,22,6,0.01818847209515096,South
233740,276.4,112.8,22103,60866,2,22,6,0.004962779156327543,South
121097,153,63.3,22105,38957,4,22,6,0.003162753825445717,South
5252,8.7,5.6,22107,27157,6,22,6,0.0011424219345011425,South
111860,90.8,35.6,22109,48437,4,22,6,0.05674056856785267,South
22721,25.9,12.9,22111,38930,4,22,6,0.0025527045464548213,South
57999,49.4,21.5,22113,42693,3,22,6,0.0036035104053518162,South
52334,39.4,16.1,22115,42554,5,22,6,0.01410173118813773,South
47168,70.4,31.4,22117,30363,5,22,6,0.002819708276797829,South
41207,69.5,32.6,22119,35999,3,22,6,0.0036401582255442036,South
23788,123.6,48.5,22121,47298,3,22,6,0.001261140070623844,South
11604,32.3,14,22123,33901,6,22,6,0.0044812133746983795,South
15625,38.8,12.6,22125,43411,3,22,6,0.00128,South
15313,16.1,7.6,22127,32039,6,22,6,0.006530399007379351,South
107702,230.2,104.9,23001,44470,4,23,1,0.00379751536647416,Northeast
71870,10.8,5.9,23003,36574,6,23,1,0.01704466397662446,Northeast
281674,337.2,166,23005,55658,3,23,1,0.003198733287417369,Northeast
30768,18.1,12.8,23007,39831,6,23,1,0.0037701508060322413,Northeast
54418,34.3,25.3,23009,47533,6,23,1,0.004042779962512404,Northeast
122151,140.8,70.3,23011,45973,5,23,1,0.004797340995980385,Northeast
39736,108.8,65,23013,45264,6,23,1,0.0035484195691564326,Northeast
34457,75.6,51.5,23015,47678,6,23,1,0.0033084714281568332,Northeast
57833,27.8,17.4,23017,39748,6,23,1,0.003648436014040427,Northeast
153923,45.3,21.7,23019,42658,4,23,1,0.011752629561534014,Northeast
17535,4.4,3.9,23021,34016,6,23,1,0.0052466495580268035,Northeast
35293,139.1,72.1,23023,55486,3,23,1,0.0035984472841639986,Northeast
52228,13.3,7.8,23025,36647,6,23,1,0.00461438308953052,Northeast
38786,53.1,29.5,23027,41312,6,23,1,0.004383024802763884,Northeast
32856,12.8,9,23029,34859,6,23,1,0.04878865351838325,Northeast
197131,199,106.8,23031,55008,3,23,1,0.003058879628267497,Northeast
75087,177,78.5,24001,37747,4,24,3,0.0014250136508317018,Northeast
537656,1295.9,512.3,24003,83456,2,24,3,0.003096775633490559,Northeast
805029(r42279),1345.5,561,24005,63959,2,24,3,0.00326075209712942,Northeast
88737,416.3,158.5,24009,90838,2,24,3,0.003707585336443648,Northeast
33066,103.5,42.2,24011,58799,6,24,3,0.0037198330611504264,Northeast
167134,373.4,139.4,24013,81621,2,24,3,0.0019624971579690546,Northeast
101108,292,118.7,24015,64886,2,24,3,0.0029077817779008587,Northeast
146551,320.2,120.1,24017,88825,2,24,3,0.006530149913681927,Northeast
32618,60.3,30.6,24019,45151,5,24,3,0.00343368692133178,Northeast
233385,353.5,136.5,24021,81686,2,24,3,0.0031278788268312018,Northeast
30097,46.5,29.1,24023,45760,6,24,3,0.0014287138252982025,Northeast
244826,560.1,218.6,24025,77010,2,24,3,0.002507903572333004,Northeast
287085,1144.9,435.8,24027,103273,2,24,3,0.003016528205932041,Northeast
20197,72.9,38.1,24029,50141,6,24,3,0.002079516759914839,Northeast
971777,1978.2,765.2,24031,93373,2,24,3,0.0037446862809060104,Northeast
863420,1788.8,679.9,24033,71260,2,24,3,0.004931551272845197,Northeast
47798,128.5,54.2,24035,81096,2,24,3,0.003117285242060337,Northeast
105151,294.4,115.6,24037,80053,4,24,3,0.004032296411826801,Northeast
26470,82.8,34.8,24039,42443,3,24,3,0.0032111824707215715,Northeast
37782,140.7,72.9,24041,63017,5,24,3,0.0017203959557461224,Northeast
147430,322.1,132.8,24043,52994,3,24,3,0.002129824323407719,Northeast
98733,263.7,110,24045,50752,3,24,3,0.002390284909807258,Northeast
51454,109.9,119.1,24047,55487,3,24,3,0.0028180510747463756,Northeast
620961(r42352),7671.5,3665.3,24510,39386,1,24,3,0.003655624105217558,Northeast
215888,548.3,407.1,25001,60317,4,25,1,0.00613280960498036,Northeast
131219,141.6,73.9,25003,48907,4,25,1,0.0019128327452579276,Northeast
548285,991.3,416.8,25005,54955,2,25,1,0.0038666022232962784,Northeast
16535,160.2,166.5,25007,62407,5,25,1,0.01106743271847596,Northeast
743159,1508.8,622.8,25009,64153,2,25,1,0.0036573599996770545,Northeast
71372,102.1,48.3,25011,52002,5,25,1,0.0029983747127725158,Northeast
463490,751,311.4,25013,47724,3,25,1,0.004036764547239423,Northeast
158080,299.8,118.7,25015,59505,3,25,1,0.002074898785425101,Northeast
1503085,1837.9,748.3,25017,77377,2,25,1,0.0017104821084635933,Northeast
10172,226.2,258.4,25019,83347,6,25,1,5.898545025560362e-4,Northeast
670850(r45073),1693.6,682.5,25021,81027,2,25,1,0.0016262949988820154,Northeast
494919,750.9,303.7,25023,73131,2,25,1,0.0024509061078681563,Northeast
722023(r45082),12415.6,5425.6,25025,50597,1,25,1,0.004132832333596021,Northeast
798552,528.6,216.3,25027,64152,3,25,1,0.0024744788066400182,Northeast
10942,16.2,16.4,26001,34858,6,26,5,0.0060318040577590935,East North Central
9601,10.5,7.2,26003,38262,6,26,5,0.041349859389646915,East North Central
111408,135,59.9,26005,50240,5,26,5,0.005708746230073244,East North Central
29598,51.8,28.1,26007,36695,5,26,5,0.005270626393675248,East North Central
23580,49.6,37.5,26009,43123,6,26,5,0.010008481764206954,East North Central
15899,43.8,27,26011,36689,6,26,5,0.01195043713441097,East North Central
8860,9.9,5.9,26013,40541,6,26,5,0.1309255079006772,East North Central
59173,107,48.8,26015,51869,2,26,5,0.004596691058421916,East North Central
107771,243.7,109,26017,44659,4,26,5,0.005233318796336677,East North Central
17525,54.8,38.2,26019,44718,5,26,5,0.014379457917261055,East North Central
156813,276.2,135.5,26021,42625,4,26,5,0.005318436609209696,East North Central
