GEOID,county_type
12085,non-AI
12071,non-AI
12073,non-AI
12075,non-AI
12077,non-AI
12079,non-AI
12081,non-AI
12083,non-AI
12101,non-AI
12086,non-AI
12087,non-AI
12089,non-AI
12097,non-AI
12099,non-AI
12091,non-AI
12093,non-AI
12095,non-AI
12117,non-AI
12103,non-AI
12105,non-AI
12107,non-AI
12109,non-AI
12111,non-AI
12113,non-AI
12115,non-AI
12129,non-AI
12119,non-AI
12121,non-AI
04003,non-AI
04023,non-AI
04011,non-AI
04013,non-AI
04015,non-AI
05015,non-AI
04025,non-AI
04027,non-AI
05001,non-AI
05011,non-AI
05009,non-AI
05003,non-AI
05005,non-AI
05007,non-AI
05013,non-AI
05017,non-AI
05029,non-AI
05019,non-AI
05021,non-AI
05023,non-AI
05025,non-AI
05027,non-AI
05041,non-AI
05031,non-AI
05033,non-AI
05035,non-AI
05037,non-AI
05039,non-AI
05057,non-AI
05043,non-AI
05045,non-AI
05051,non-AI
05047,non-AI
05049,non-AI
05053,non-AI
05055,non-AI
05069,non-AI
05059,non-AI
05061,non-AI
05063,non-AI
05065,non-AI
05067,non-AI
05091,non-AI
05071,non-AI
05073,non-AI
05075,non-AI
05077,non-AI
05079,non-AI
05087,non-AI
05089,non-AI
05081,non-AI
05083,non-AI
05085,non-AI
05103,non-AI
05093,non-AI
05095,non-AI
05097,non-AI
05099,non-AI
05101,non-AI
05109,non-AI
05105,non-AI
05107,non-AI
13011,non-AI
13013,non-AI
13017,non-AI
13039,non-AI
13023,non-AI
13009,non-AI
13005,non-AI
13007,non-AI
13021,non-AI
13015,non-AI
13019,non-AI
13027,non-AI
13029,non-AI
13031,non-AI
13033,non-AI
13035,non-AI
13037,non-AI
13053,non-AI
13043,non-AI
13045,non-AI
13047,non-AI
13049,non-AI
13051,non-AI
13069,non-AI
13055,non-AI
13057,non-AI
13059,non-AI
13061,non-AI
13063,non-AI
13065,non-AI
13067,non-AI
13081,non-AI
13077,non-AI
13079,non-AI
13071,non-AI
13073,non-AI
13075,non-AI
13093,non-AI
13083,non-AI
13085,non-AI
13087,non-AI
13089,non-AI
13091,non-AI
13109,non-AI
13095,non-AI
13097,non-AI
13099,non-AI
13101,non-AI
13103,non-AI
13105,non-AI
13107,non-AI
06077,non-AI
13111,non-AI
13113,non-AI
13115,non-AI
13117,non-AI
